"id","store_code","total_sale","transaction_date"
195,"CO005",334.7,2023-03-17
196,"CO005",1148.56,2023-02-17
197,"CO005",644.79,2023-02-07
198,"CO005",1135.73,2023-03-12
199,"CO005",237.91,2023-03-05
200,"FL006",518.84,2023-03-08
201,"FL006",1345.54,2023-03-04
202,"FL006",1297.99,2023-03-20
203,"FL006",607.91,2023-02-18
204,"FL006",1150.83,2023-02-21
205,"FL006",475.79,2023-02-16
206,"FL006",9.77,2023-02-25
207,"FL006",285.13,2023-02-26
208,"FL006",454.32,2023-03-17
209,"FL006",1091.77,2023-02-18
210,"FL006",1227.36,2023-03-25
211,"FL006",1411.38,2023-03-02
212,"FL006",755.94,2023-02-11
213,"FL006",1492.91,2023-02-17
214,"FL006",1354.58,2023-03-28
215,"FL006",42.16,2023-02-12
216,"FL006",1217.84,2023-02-10
217,"FL006",1252.45,2023-03-13
218,"FL006",1261.49,2023-02-21
219,"FL006",473.78,2023-03-30
220,"FL006",1337.53,2023-03-03
221,"FL006",1304.41,2023-03-17
222,"FL006",530.67,2023-03-04
223,"FL006",1189.85,2023-02-18
224,"FL006",1071.94,2023-02-22
225,"FL006",1389.55,2023-03-22
226,"FL006",212.84,2023-02-17
227,"FL006",459.77,2023-02-18
228,"FL006",782.06,2023-02-26
229,"FL006",576.94,2023-03-12
230,"FL006",1371.92,2023-03-04
231,"FL006",1044.97,2023-03-18
232,"FL006",613.63,2023-02-22
233,"FL006",302.19,2023-03-28
234,"FL006",479.41,2023-02-16
235,"FL006",256.03,2023-03-20
236,"FL006",543.58,2023-03-29
237,"FL006",17.71,2023-02-19
238,"FL006",930.8,2023-03-27
239,"FL006",638.65,2023-03-02
240,"FL006",412.86,2023-02-28
241,"FL006",912.87,2023-03-14
242,"FL006",1046.88,2023-02-28
243,"FL006",1313.57,2023-03-03
244,"FL006",627.16,2023-02-20
245,"FL006",936.55,2023-03-27
246,"FL006",298.53,2023-03-06
247,"FL006",833.74,2023-03-17
248,"FL006",895.83,2023-03-10
249,"FL006",583.55,2023-03-01
250,"FL006",408.3,2023-03-03
251,"FL006",1251.36,2023-02-12
252,"FL006",1357.05,2023-03-23
253,"FL006",728.11,2023-03-17
254,"FL006",851.15,2023-03-27
255,"FL006",493.59,2023-03-13
256,"FL006",278.46,2023-02-08
257,"FL006",384.44,2023-03-22
258,"FL006",695.99,2023-03-22
259,"FL006",1148.14,2023-02-14
260,"FL006",1101.35,2023-03-26
261,"FL006",118.76,2023-03-24
262,"FL006",606.4,2023-03-08
263,"FL006",872.73,2023-02-05
264,"FL006",1011.68,2023-03-26
265,"FL006",640.08,2023-03-24
266,"FL006",916.66,2023-03-10
267,"FL006",739.59,2023-03-15
268,"FL006",1146.05,2023-02-27
269,"FL006",1133.31,2023-03-14
270,"FL006",1238.29,2023-03-06
271,"FL006",1172.28,2023-02-11
272,"FL006",1480.73,2023-03-20
273,"FL006",943.36,2023-03-20
274,"FL006",556.89,2023-02-16
275,"FL006",1135.62,2023-02-01
276,"FL006",371.57,2023-02-27
277,"FL006",45.2,2023-02-14
278,"FL006",1296.2,2023-02-25
279,"FL006",1208.45,2023-02-15
280,"FL006",881.75,2023-03-15
281,"FL006",916.28,2023-02-06
282,"FL006",208.88,2023-03-28
283,"FL006",1163.04,2023-02-24
284,"FL006",819.84,2023-03-20
285,"FL006",670.71,2023-02-17
286,"FL006",970.16,2023-03-29
287,"FL006",901.57,2023-02-20
288,"FL006",976.04,2023-02-06
289,"FL006",791.31,2023-03-07
290,"FL006",933.29,2023-03-30
291,"FL006",907.85,2023-03-29
292,"FL006",176.03,2023-02-16
293,"FL006",156.22,2023-03-18
294,"FL006",882.24,2023-03-14
295,"FL006",1476.14,2023-02-21
296,"FL006",1443.6,2023-03-11
297,"FL006",653.56,2023-03-26
298,"FL006",865.64,2023-03-12
299,"FL006",190,2023-03-22
300,"AZ002",357.96,2023-02-18
301,"AZ002",316.53,2023-03-01
302,"AZ002",122.14,2023-03-18
303,"AZ002",87.59,2023-02-12
304,"AZ002",234.23,2023-03-19
305,"AZ002",1154.77,2023-02-01
306,"AZ002",935.79,2023-02-25
307,"AZ002",469.48,2023-02-19
308,"AZ002",335.82,2023-02-22
309,"AZ002",103.95,2023-02-20
310,"AZ002",1356.65,2023-03-16
311,"AZ002",425.49,2023-02-15
312,"AZ002",469.8,2023-03-24
313,"AZ002",180.04,2023-02-10
314,"AZ002",877.09,2023-02-03
315,"AZ002",971.78,2023-02-04
316,"AZ002",109.27,2023-02-03
317,"AZ002",9.29,2023-03-03
318,"AZ002",885.56,2023-02-12
319,"AZ002",364.19,2023-03-15
320,"AZ002",510.07,2023-02-18
321,"AZ002",1098.19,2023-02-14
322,"AZ002",721.77,2023-03-03
323,"AZ002",1012.85,2023-02-01
324,"AZ002",83.98,2023-02-01
325,"AZ002",352.46,2023-03-05
326,"AZ002",1037.73,2023-02-22
327,"AZ002",485.79,2023-03-07
328,"AZ002",1255.45,2023-03-01
329,"AZ002",1280.66,2023-02-12
330,"AZ002",1078.54,2023-02-09
331,"AZ002",652.16,2023-03-03
332,"AZ002",1122.54,2023-02-28
333,"AZ002",516.2,2023-02-26
334,"AZ002",1136.88,2023-02-27
335,"AZ002",954.54,2023-02-10
336,"AZ002",244.01,2023-03-02
337,"AZ002",431.93,2023-02-01
338,"AZ002",983.46,2023-03-12
339,"AZ002",970.9,2023-03-28
340,"AZ002",1203.44,2023-02-07
341,"AZ002",1481.67,2023-03-01
342,"AZ002",837.7,2023-02-21
343,"AZ002",1342.24,2023-02-21
344,"AZ002",971.92,2023-03-10
345,"AZ002",480.02,2023-02-10
346,"AZ002",104.78,2023-03-17
347,"AZ002",115.29,2023-03-12
348,"AZ002",24.1,2023-02-20
349,"AZ002",389.5,2023-02-18
350,"AZ002",135.16,2023-02-04
351,"AZ002",835.43,2023-03-30
352,"AZ002",1387.43,2023-02-12
353,"AZ002",502.15,2023-03-18
354,"AZ002",1245.59,2023-03-25
355,"AZ002",402.24,2023-02-09
356,"AZ002",6.69,2023-02-03
357,"AZ002",444.32,2023-02-02
358,"AZ002",1248.22,2023-02-04
359,"AZ002",990.28,2023-02-24
360,"AZ002",773.26,2023-02-18
361,"AZ002",1083.61,2023-03-20
362,"AZ002",149.31,2023-03-20
363,"AZ002",814.52,2023-03-28
364,"AZ002",221.47,2023-02-12
365,"AZ002",223.2,2023-02-28
366,"AZ002",737.99,2023-03-22
367,"AZ002",463.33,2023-03-20
368,"AZ002",1285.6,2023-02-23
369,"AZ002",1492.13,2023-03-18
370,"AZ002",887.09,2023-02-11
371,"AZ002",514.04,2023-03-19
372,"AZ002",1397.16,2023-03-27
373,"AZ002",1247.69,2023-02-18
374,"AZ002",891.65,2023-02-18
375,"AZ002",846.78,2023-03-05
376,"AZ002",223.78,2023-02-02
377,"AZ002",309.25,2023-02-02
378,"AZ002",1457.16,2023-03-03
379,"AZ002",164.5,2023-03-09
380,"AZ002",951.66,2023-02-08
381,"AZ002",1226.81,2023-02-24
382,"AZ002",302.05,2023-03-05
383,"AZ002",416.53,2023-03-26
384,"AZ002",996.83,2023-03-09
385,"AZ002",100.4,2023-02-19
386,"AZ002",124.28,2023-03-14
387,"AZ002",245.22,2023-02-03
388,"AZ002",167.85,2023-03-20
389,"AZ002",1175.83,2023-02-19
390,"AZ002",607.05,2023-02-25
391,"AZ002",786,2023-02-05
392,"AZ002",517.23,2023-03-10
393,"AZ002",1457.87,2023-03-24
394,"AZ002",462.28,2023-02-14
395,"AZ002",262.74,2023-02-18
396,"AZ002",406.36,2023-03-04
397,"AZ002",683.65,2023-02-04
398,"AZ002",1239.69,2023-03-21
399,"AZ002",1170.25,2023-02-23
400,"PA001",668.01,2023-02-07
401,"PA001",1482.46,2023-03-08
402,"PA001",895.99,2023-03-28
403,"PA001",224.53,2023-02-21
404,"PA001",735.84,2023-02-23
405,"PA001",896.76,2023-02-11
406,"PA001",486.22,2023-03-02
407,"PA001",1456.62,2023-03-27
408,"PA001",341.16,2023-03-11
409,"PA001",990.51,2023-03-14
410,"PA001",733.14,2023-03-08
411,"PA001",1013.07,2023-03-07
412,"PA001",165.17,2023-02-24
413,"PA001",1349.15,2023-02-16
414,"PA001",1122.96,2023-02-17
415,"PA001",548.95,2023-03-01
416,"PA001",75.77,2023-03-28
417,"PA001",939.86,2023-03-27
418,"PA001",538.74,2023-02-24
419,"PA001",184.93,2023-03-23
420,"PA001",1064.92,2023-02-08
421,"PA001",978.39,2023-02-24
422,"PA001",418.35,2023-02-02
423,"PA001",540.13,2023-02-27
424,"PA001",827.37,2023-03-06
425,"PA001",476.34,2023-02-15
426,"PA001",1346.26,2023-03-12
427,"PA001",992.64,2023-03-24
428,"PA001",1415.79,2023-03-20
429,"PA001",566.88,2023-03-25
430,"PA001",1199.16,2023-03-22
431,"PA001",27.32,2023-02-19
432,"PA001",880.54,2023-02-27
433,"PA001",1287.29,2023-02-03
434,"PA001",849.22,2023-02-09
435,"PA001",1235.61,2023-03-06
436,"PA001",1127.74,2023-02-12
437,"PA001",1016.62,2023-02-26
438,"PA001",342.67,2023-03-14
439,"PA001",73.79,2023-02-23
440,"PA001",1103.14,2023-03-17
441,"PA001",1121.62,2023-02-24
442,"PA001",1158.21,2023-03-29
443,"PA001",717.58,2023-02-02
444,"PA001",1128.8,2023-02-27
445,"PA001",190.33,2023-03-12
446,"PA001",705.95,2023-02-16
447,"PA001",650.99,2023-02-05
448,"PA001",67.19,2023-03-19
449,"PA001",1012.87,2023-03-17
450,"PA001",752.23,2023-02-17
451,"PA001",203.23,2023-03-02
452,"PA001",538.5,2023-03-04
453,"PA001",206.67,2023-02-05
454,"PA001",666.47,2023-02-18
455,"PA001",951.52,2023-03-03
456,"PA001",1046.75,2023-02-07
457,"PA001",421.47,2023-03-22
458,"PA001",533.19,2023-03-07
459,"PA001",1247.27,2023-02-11
460,"PA001",1232.69,2023-03-23
461,"PA001",589.99,2023-02-18
462,"PA001",696.92,2023-02-16
463,"PA001",1342.65,2023-02-21
464,"PA001",503.51,2023-03-12
465,"PA001",588.52,2023-02-01
466,"PA001",809.05,2023-02-17
467,"PA001",1299.29,2023-02-14
468,"PA001",272.97,2023-02-28
469,"PA001",1297.52,2023-02-02
470,"PA001",1289.93,2023-03-15
471,"PA001",334.34,2023-02-20
472,"PA001",379.45,2023-03-25
473,"PA001",181.2,2023-02-03
474,"PA001",97.88,2023-03-07
475,"PA001",202.15,2023-03-11
476,"PA001",310.88,2023-02-12
477,"PA001",1489.25,2023-03-22
478,"PA001",1161.22,2023-03-29
479,"PA001",262.62,2023-03-21
480,"PA001",720.43,2023-03-21
481,"PA001",845.11,2023-03-15
482,"PA001",348.41,2023-03-25
483,"PA001",1075.38,2023-02-24
484,"PA001",773.87,2023-03-22
485,"PA001",466.34,2023-02-03
486,"PA001",1062.24,2023-02-02
487,"PA001",93.78,2023-03-03
488,"PA001",1216.66,2023-02-05
489,"PA001",473.92,2023-02-03
490,"PA001",232.48,2023-02-03
491,"PA001",1066.3,2023-03-24
492,"PA001",111.7,2023-02-13
493,"PA001",804.38,2023-03-10
494,"PA001",145.43,2023-03-20
495,"PA001",1031.43,2023-03-21
496,"PA001",373.11,2023-02-02
497,"PA001",1255.26,2023-02-19
498,"PA001",249.08,2023-02-01
499,"PA001",1130.6,2023-02-22
500,"TN010",18.62,2023-03-23
501,"TN010",440.78,2023-02-13
502,"TN010",178.91,2023-02-01
503,"TN010",271.77,2023-02-13
504,"TN010",464.24,2023-02-13
505,"TN010",1351.16,2023-03-21
506,"TN010",494.93,2023-03-16
507,"TN010",659.49,2023-02-12
508,"TN010",1097.73,2023-03-29
509,"TN010",58.03,2023-02-05
510,"TN010",432.78,2023-02-20
511,"TN010",598.22,2023-03-22
512,"TN010",736.33,2023-03-30
513,"TN010",1417.63,2023-02-27
514,"TN010",1337.6,2023-03-20
515,"TN010",1369.23,2023-03-22
516,"TN010",1042.79,2023-03-23
517,"TN010",419.11,2023-02-12
518,"TN010",161.84,2023-02-03
519,"TN010",272.37,2023-03-22
520,"TN010",411.53,2023-03-22
521,"TN010",362.33,2023-02-25
522,"TN010",301.16,2023-02-15
523,"TN010",1171.09,2023-02-15
524,"TN010",1299.18,2023-03-06
525,"TN010",857.97,2023-03-10
526,"TN010",536.89,2023-03-22
527,"TN010",986.05,2023-02-06
528,"TN010",47.85,2023-02-10
529,"TN010",1459.38,2023-03-24
530,"TN010",60.34,2023-02-03
531,"TN010",1189.06,2023-02-28
532,"TN010",636.32,2023-03-27
533,"TN010",491.02,2023-03-09
534,"TN010",1354.43,2023-03-18
535,"TN010",976.89,2023-03-10
536,"TN010",1035.94,2023-02-22
537,"TN010",330.85,2023-02-25
538,"TN010",19.44,2023-02-16
539,"TN010",474.45,2023-02-26
540,"TN010",925.93,2023-03-15
541,"TN010",958.06,2023-03-16
542,"TN010",559.68,2023-03-30
543,"TN010",669.15,2023-03-29
544,"TN010",182.78,2023-03-22
545,"TN010",1325.11,2023-02-14
546,"TN010",886.61,2023-02-20
547,"TN010",93.65,2023-03-07
548,"TN010",0.86,2023-03-26
549,"TN010",1265.88,2023-03-26
550,"TN010",1336.19,2023-03-08
551,"TN010",623.86,2023-02-01
552,"TN010",330.18,2023-03-12
553,"TN010",642.34,2023-03-11
554,"TN010",1354.95,2023-02-28
555,"TN010",313.88,2023-03-27
556,"TN010",99.26,2023-03-25
557,"TN010",1144,2023-02-17
558,"TN010",711.68,2023-03-16
559,"TN010",1182.1,2023-02-01
560,"TN010",473.81,2023-02-12
561,"TN010",1306.62,2023-02-05
562,"TN010",1132.36,2023-03-23
563,"TN010",1290.63,2023-02-02
564,"TN010",826.22,2023-03-04
565,"TN010",1034.83,2023-03-19
566,"TN010",609.73,2023-02-06
567,"TN010",130.26,2023-02-18
568,"TN010",959.42,2023-03-14
569,"TN010",772.91,2023-02-05
570,"TN010",440.87,2023-03-13
571,"TN010",878.27,2023-02-10
572,"TN010",976.51,2023-03-18
573,"TN010",918.19,2023-03-13
574,"TN010",318.08,2023-03-26
575,"TN010",1346.47,2023-03-10
576,"TN010",909.77,2023-03-03
577,"TN010",997.8,2023-03-06
578,"TN010",794.35,2023-03-13
579,"TN010",1186.85,2023-02-16
580,"TN010",737.52,2023-03-18
581,"TN010",165.38,2023-03-28
582,"TN010",970.74,2023-02-24
583,"TN010",179.53,2023-03-14
584,"TN010",47.97,2023-03-21
585,"TN010",249.77,2023-02-20
586,"TN010",1085.72,2023-03-14
587,"TN010",941.44,2023-03-19
588,"TN010",124.97,2023-02-07
589,"TN010",987.75,2023-02-04
590,"TN010",1394.16,2023-03-01
591,"TN010",115.91,2023-03-05
592,"TN010",930.73,2023-03-13
593,"TN010",941.39,2023-03-20
594,"TN010",1234.19,2023-03-28
595,"TN010",641.25,2023-02-18
596,"TN010",196.57,2023-03-21
597,"TN010",373.73,2023-03-14
598,"TN010",593.3,2023-03-09
599,"TN010",1446.11,2023-03-15
600,"IA002",1353.76,2023-03-14
601,"IA002",792.05,2023-02-07
602,"IA002",1358.86,2023-03-16
603,"IA002",429.36,2023-02-01
604,"IA002",1115.45,2023-02-18
605,"IA002",881.96,2023-02-14
606,"IA002",1050.87,2023-03-26
607,"IA002",143.85,2023-02-06
608,"IA002",157.75,2023-03-10
609,"IA002",1187.5,2023-02-23
610,"IA002",324.58,2023-03-17
611,"IA002",53.06,2023-03-20
612,"IA002",1410.77,2023-02-06
613,"IA002",1072.38,2023-02-19
614,"IA002",1002.85,2023-02-25
615,"IA002",1401.81,2023-03-25
616,"IA002",1317.62,2023-03-12
617,"IA002",1152.59,2023-02-08
618,"IA002",1232.75,2023-02-22
619,"IA002",1282.07,2023-02-24
620,"IA002",49.6,2023-02-08
621,"IA002",191.06,2023-02-13
622,"IA002",1292.08,2023-03-19
623,"IA002",407.42,2023-03-24
624,"IA002",676.08,2023-03-16
625,"IA002",1336.34,2023-02-10
626,"IA002",154.79,2023-02-19
627,"IA002",241.33,2023-03-22
628,"IA002",381.24,2023-02-10
629,"IA002",816.29,2023-03-17
630,"IA002",238.53,2023-02-21
631,"IA002",234.86,2023-03-07
632,"IA002",1377.31,2023-03-03
633,"IA002",903.62,2023-02-15
634,"IA002",705.33,2023-03-22
635,"IA002",1044.15,2023-03-24
636,"IA002",883.37,2023-02-25
637,"IA002",884.26,2023-02-22
638,"IA002",523.15,2023-02-16
639,"IA002",837.28,2023-02-07
640,"IA002",1294.41,2023-03-08
641,"IA002",675.36,2023-03-10
642,"IA002",1268.3,2023-03-17
643,"IA002",821.72,2023-03-05
644,"IA002",504.81,2023-03-01
645,"IA002",69.03,2023-03-07
646,"IA002",1242.72,2023-03-19
647,"IA002",502.36,2023-03-07
648,"IA002",12.2,2023-03-12
649,"IA002",680.59,2023-02-27
650,"IA002",1136.01,2023-03-10
651,"IA002",601.44,2023-02-21
652,"IA002",1197.39,2023-02-23
653,"IA002",356.52,2023-03-11
654,"IA002",975.61,2023-03-23
655,"IA002",368.06,2023-02-15
656,"IA002",1122.43,2023-03-11
657,"IA002",274.1,2023-03-29
658,"IA002",336.53,2023-02-23
659,"IA002",1480.08,2023-03-02
660,"IA002",1211.82,2023-03-24
661,"IA002",401.1,2023-02-05
662,"IA002",1489,2023-02-07
663,"IA002",999.76,2023-02-25
664,"IA002",756.85,2023-03-30
665,"IA002",1010.37,2023-03-13
666,"IA002",935.17,2023-02-06
667,"IA002",427.49,2023-02-25
668,"IA002",222.92,2023-02-26
669,"IA002",1463.56,2023-02-22
670,"IA002",1345.81,2023-02-05
671,"IA002",601.93,2023-03-06
672,"IA002",1103.19,2023-03-29
673,"IA002",181.89,2023-02-12
674,"IA002",1327.06,2023-03-25
675,"IA002",1402.17,2023-02-13
676,"IA002",740.05,2023-03-30
677,"IA002",1356.01,2023-02-21
678,"IA002",232.51,2023-02-05
679,"IA002",960.55,2023-03-06
680,"IA002",110.81,2023-02-13
681,"IA002",607.61,2023-03-23
682,"IA002",721.08,2023-03-20
683,"IA002",1027.91,2023-02-27
684,"IA002",1228.78,2023-02-17
685,"IA002",977.51,2023-03-23
686,"IA002",1318.59,2023-03-30
687,"IA002",535.91,2023-02-24
688,"IA002",184.69,2023-02-18
689,"IA002",88.52,2023-03-07
690,"IA002",790.94,2023-02-26
691,"IA002",1159.33,2023-03-23
692,"IA002",140.3,2023-02-27
693,"IA002",1113.09,2023-02-13
694,"IA002",988.89,2023-03-30
695,"IA002",1085.84,2023-02-20
696,"IA002",849.95,2023-02-06
697,"IA002",1250.06,2023-03-16
698,"IA002",155.3,2023-03-26
699,"IA002",914.31,2023-02-19
700,"CO023",608.34,2023-03-23
701,"CO023",1221.99,2023-02-06
702,"CO023",896.4,2023-02-26
703,"CO023",4.28,2023-03-10
704,"CO023",654.67,2023-03-08
705,"CO023",1093.64,2023-03-04
706,"CO023",738.66,2023-02-18
707,"CO023",586.7,2023-03-20
708,"CO023",1344.8,2023-03-06
709,"CO023",1273.22,2023-03-06
710,"CO023",1144.01,2023-02-04
711,"CO023",595.95,2023-02-20
712,"CO023",530.7,2023-03-30
713,"CO023",373.88,2023-02-22
714,"CO023",1074.08,2023-03-16
715,"CO023",1500,2023-03-01
716,"CO023",1208.96,2023-03-21
717,"CO023",1277.75,2023-02-13
718,"CO023",504.34,2023-02-26
719,"CO023",321.95,2023-03-03
720,"CO023",1236.85,2023-03-10
721,"CO023",715.4,2023-02-03
722,"CO023",694.14,2023-03-03
723,"CO023",102.89,2023-02-25
724,"CO023",1147.24,2023-03-28
725,"CO023",1391.12,2023-03-16
726,"CO023",686.23,2023-03-28
727,"CO023",140.97,2023-03-19
728,"CO023",109.92,2023-02-05
729,"CO023",638.67,2023-02-06
730,"CO023",432.41,2023-02-12
731,"CO023",229.74,2023-03-20
732,"CO023",1352.43,2023-03-08
733,"CO023",418.59,2023-03-25
734,"CO023",1397.29,2023-03-30
735,"CO023",1488.29,2023-02-28
736,"CO023",1348.8,2023-02-22
737,"CO023",1409.84,2023-03-22
738,"CO023",1200.38,2023-02-17
739,"CO023",1146.01,2023-03-09
740,"CO023",470.12,2023-03-27
741,"CO023",985.69,2023-03-03
742,"CO023",1452.44,2023-02-08
743,"CO023",266.11,2023-02-13
744,"CO023",1490.19,2023-03-10
745,"CO023",1415.06,2023-02-08
746,"CO023",1230.73,2023-03-01
747,"CO023",1466.05,2023-03-05
748,"CO023",179.53,2023-03-20
749,"CO023",650.67,2023-03-11
750,"CO023",617.78,2023-03-06
751,"CO023",1164.08,2023-03-23
752,"CO023",1204.16,2023-02-08
753,"CO023",1211.29,2023-03-20
754,"CO023",1463.16,2023-03-28
755,"CO023",830.35,2023-03-26
756,"CO023",1318.64,2023-03-23
